# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.673984533141464E+002;
1.099099099099099E+007;1.658685112159753E+002;
1.198198198198198E+007;1.648070841329041E+002;
1.297297297297297E+007;1.637159069823594E+002;
1.396396396396396E+007;1.623882741147449E+002;
1.495495495495496E+007;1.611788627709778E+002;
1.594594594594595E+007;1.600594532791237E+002;
1.693693693693694E+007;1.586151765786778E+002;
1.792792792792793E+007;1.574670092072483E+002;
1.891891891891892E+007;1.563738754758989E+002;
1.990990990990991E+007;1.552451603514441E+002;
2.090090090090090E+007;1.540252094153518E+002;
2.189189189189189E+007;1.528954256886018E+002;
2.288288288288289E+007;1.517355844198714E+002;
2.387387387387388E+007;1.506238651976241E+002;
2.486486486486486E+007;1.494080242367764E+002;
2.585585585585586E+007;1.482368348110647E+002;
2.684684684684685E+007;1.472069107227439E+002;
2.783783783783784E+007;1.461166029765973E+002;
2.882882882882883E+007;1.448591726428297E+002;
2.981981981981982E+007;1.437680743544055E+002;
3.081081081081081E+007;1.426031720061916E+002;
3.180180180180180E+007;1.414151086768006E+002;
3.279279279279279E+007;1.403126574497822E+002;
3.378378378378379E+007;1.391588470630769E+002;
3.477477477477478E+007;1.381236054783986E+002;
3.576576576576577E+007;1.368388866521274E+002;
3.675675675675675E+007;1.377961080256718E+002;
3.774774774774775E+007;1.364834054851175E+002;
3.873873873873874E+007;1.352078139371918E+002;
3.972972972972973E+007;1.339290145165213E+002;
4.072072072072072E+007;1.326533069140348E+002;
4.171171171171171E+007;1.313617855268295E+002;
4.270270270270270E+007;1.300636234433735E+002;
4.369369369369370E+007;1.287884262086485E+002;
4.468468468468469E+007;1.274711001407334E+002;
4.567567567567568E+007;1.261452035997178E+002;
4.666666666666666E+007;1.248198338322427E+002;
4.765765765765766E+007;1.235071653505976E+002;
4.864864864864865E+007;1.221870884261711E+002;
4.963963963963964E+007;1.208633592721052E+002;
5.063063063063064E+007;1.195833462761577E+002;
5.162162162162162E+007;1.184435580543949E+002;
5.261261261261261E+007;1.172448245513554E+002;
5.360360360360360E+007;1.160690641910788E+002;
5.459459459459460E+007;1.148796363630417E+002;
5.558558558558559E+007;1.136974788326171E+002;
5.657657657657658E+007;1.125589362971085E+002;
5.756756756756757E+007;1.113907729418511E+002;
5.855855855855856E+007;1.102547271150597E+002;
5.954954954954955E+007;1.091141544093894E+002;
6.054054054054054E+007;1.079829829943518E+002;
6.153153153153154E+007;1.068581500027266E+002;
6.252252252252252E+007;1.057225001329528E+002;
6.351351351351351E+007;1.045890140392163E+002;
6.450450450450450E+007;1.034696899447609E+002;
6.549549549549550E+007;1.023427584980230E+002;
6.648648648648649E+007;1.011766611431030E+002;
6.747747747747748E+007;1.000229943274502E+002;
6.846846846846847E+007;9.887423733048077E+001;
6.945945945945945E+007;9.772485905785008E+001;
7.045045045045045E+007;9.657516336959763E+001;
7.144144144144145E+007;9.542765626371551E+001;
7.243243243243244E+007;9.426732806352878E+001;
7.342342342342342E+007;9.312337467712673E+001;
7.441441441441441E+007;9.196757519352269E+001;
7.540540540540540E+007;9.081587711002631E+001;
7.639639639639640E+007;8.966895423673884E+001;
7.738738738738740E+007;8.852187770659991E+001;
7.837837837837838E+007;8.738308922165965E+001;
7.936936936936937E+007;8.625781230693687E+001;
8.036036036036035E+007;8.511061078965885E+001;
8.135135135135135E+007;8.397835759220799E+001;
8.234234234234235E+007;8.283105669009170E+001;
8.333333333333333E+007;8.169674522039118E+001;
8.432432432432433E+007;8.056304101485074E+001;
8.531531531531532E+007;7.943237301357928E+001;
8.630630630630630E+007;7.828645392612631E+001;
8.729729729729730E+007;7.713888859138845E+001;
8.828828828828830E+007;7.598679922111863E+001;
8.927927927927928E+007;7.482864698332438E+001;
9.027027027027027E+007;7.366416264224412E+001;
9.126126126126127E+007;7.250331605035065E+001;
9.225225225225225E+007;7.132815201013426E+001;
9.324324324324325E+007;7.015812235143831E+001;
9.423423423423423E+007;6.899058833889868E+001;
9.522522522522523E+007;6.780965684877270E+001;
9.621621621621622E+007;6.664733874767332E+001;
9.720720720720720E+007;6.551840689863569E+001;
9.819819819819820E+007;6.439297352024853E+001;
9.918918918918920E+007;6.329531257310134E+001;
1.001801801801802E+008;6.214827848639735E+001;
1.011711711711712E+008;6.094809868038659E+001;
1.021621621621622E+008;5.973499428721072E+001;
1.031531531531532E+008;5.854275297675110E+001;
1.041441441441442E+008;5.737810341369974E+001;
1.051351351351351E+008;5.623003842007879E+001;
1.061261261261261E+008;5.509144081554724E+001;
1.071171171171171E+008;5.395635092845296E+001;
1.081081081081081E+008;5.269567193554324E+001;
1.090990990990991E+008;5.155555479668292E+001;
1.100900900900901E+008;5.041384077874491E+001;
1.110810810810811E+008;4.927530832972424E+001;
1.120720720720721E+008;4.812634782362681E+001;
1.130630630630631E+008;4.698843187848654E+001;
1.140540540540541E+008;4.584931722984309E+001;
1.150450450450451E+008;4.468116463053291E+001;
1.160360360360360E+008;4.352059915984599E+001;
1.170270270270270E+008;4.235229987884315E+001;
1.180180180180180E+008;4.117580769688485E+001;
1.190090090090090E+008;4.001218300401198E+001;
1.200000000000000E+008;3.885184103074745E+001;
1.209909909909910E+008;3.768593902899077E+001;
1.219819819819820E+008;3.651899252841313E+001;
1.229729729729730E+008;3.535476683831514E+001;
1.239639639639640E+008;3.418575864029411E+001;
1.249549549549550E+008;3.302581427961599E+001;
1.259459459459460E+008;3.185309524745676E+001;
1.269369369369369E+008;3.069903286691617E+001;
1.279279279279279E+008;2.953750146528276E+001;
1.289189189189189E+008;2.837757940078081E+001;
1.299099099099099E+008;2.721968203439496E+001;
1.309009009009009E+008;2.604026893197347E+001;
1.318918918918919E+008;2.486039929961302E+001;
1.328828828828829E+008;2.369241782688031E+001;
1.338738738738739E+008;2.252359288621493E+001;
1.348648648648649E+008;2.135860614341494E+001;
1.358558558558559E+008;2.019032412651261E+001;
1.368468468468469E+008;1.902598212050945E+001;
1.378378378378379E+008;1.786036706809405E+001;
1.388288288288288E+008;1.669961215409698E+001;
1.398198198198198E+008;1.553863447269959E+001;
1.408108108108108E+008;1.438677654434745E+001;
1.418018018018018E+008;1.322603209771416E+001;
1.427927927927928E+008;1.206264353875370E+001;
1.437837837837838E+008;1.089909457480247E+001;
1.447747747747748E+008;9.734242807362467E+000;
1.457657657657658E+008;8.579025187542126E+000;
1.467567567567568E+008;7.392429368151487E+000;
1.477477477477478E+008;6.239339108322389E+000;
1.487387387387388E+008;5.084829567033165E+000;
1.497297297297297E+008;3.920612940399592E+000;
1.507207207207207E+008;2.751639946839719E+000;
1.517117117117117E+008;1.592403796891797E+000;
1.527027027027027E+008;4.365997725919110E-001;
1.536936936936937E+008;-7.270153120492008E-001;
1.546846846846847E+008;-1.884243588021311E+000;
1.556756756756757E+008;-3.041721220025635E+000;
1.566666666666667E+008;-4.203971850743777E+000;
1.576576576576577E+008;-5.374054718679518E+000;
1.586486486486487E+008;-6.545540176685121E+000;
1.596396396396397E+008;-7.724972006349183E+000;
1.606306306306306E+008;-8.898592544045629E+000;
1.616216216216216E+008;-1.007627739141470E+001;
1.626126126126126E+008;-1.123696970925992E+001;
1.636036036036036E+008;-1.239983142583042E+001;
1.645945945945946E+008;-1.356094743460050E+001;
1.655855855855856E+008;-1.471349830924327E+001;
1.665765765765766E+008;-1.587124627203108E+001;
1.675675675675676E+008;-1.702397918324238E+001;
1.685585585585586E+008;-1.818772197397592E+001;
1.695495495495496E+008;-1.935005922079322E+001;
1.705405405405406E+008;-2.051497138312553E+001;
1.715315315315315E+008;-2.168568796259788E+001;
1.725225225225225E+008;-2.285618190876339E+001;
1.735135135135135E+008;-2.402449840799733E+001;
1.745045045045045E+008;-2.519598777094727E+001;
1.754954954954955E+008;-2.637326364282884E+001;
1.764864864864865E+008;-2.754960307457221E+001;
1.774774774774775E+008;-2.872806066007549E+001;
1.784684684684685E+008;-2.991126497632069E+001;
1.794594594594595E+008;-3.107695167118970E+001;
1.804504504504505E+008;-3.223595272053514E+001;
1.814414414414415E+008;-3.340821167680415E+001;
1.824324324324324E+008;-3.456657874861732E+001;
1.834234234234234E+008;-3.574412952213803E+001;
1.844144144144144E+008;-3.691261535720948E+001;
1.854054054054054E+008;-3.808511859922390E+001;
1.863963963963964E+008;-3.925327206194072E+001;
1.873873873873874E+008;-4.042015197435380E+001;
1.883783783783784E+008;-4.157905891093993E+001;
1.893693693693694E+008;-4.274030796934445E+001;
1.903603603603604E+008;-4.390118415983233E+001;
1.913513513513514E+008;-4.506454288159947E+001;
1.923423423423424E+008;-4.623009171929417E+001;
1.933333333333333E+008;-4.739582702719326E+001;
1.943243243243243E+008;-4.856159282042273E+001;
1.953153153153153E+008;-4.972299337617325E+001;
1.963063063063063E+008;-5.088517548006797E+001;
1.972972972972973E+008;-5.204739201954229E+001;
1.982882882882883E+008;-5.321473996628855E+001;
1.992792792792793E+008;-5.437633198917457E+001;
2.002702702702703E+008;-5.553457322134631E+001;
2.012612612612613E+008;-5.669593049044721E+001;
2.022522522522523E+008;-5.786472388488728E+001;
2.032432432432433E+008;-5.902957133447021E+001;
2.042342342342342E+008;-6.018968794330940E+001;
2.052252252252252E+008;-6.135437860002337E+001;
2.062162162162162E+008;-6.252241169446709E+001;
2.072072072072072E+008;-6.368063849407544E+001;
2.081981981981982E+008;-6.484510006262826E+001;
2.091891891891892E+008;-6.600212767895035E+001;
