# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.670679474753417E+002;
1.099099099099099E+007;1.655641836446554E+002;
1.198198198198198E+007;1.644445980552726E+002;
1.297297297297297E+007;1.632491980678052E+002;
1.396396396396396E+007;1.620221854849656E+002;
1.495495495495496E+007;1.608263313813507E+002;
1.594594594594595E+007;1.596069364507921E+002;
1.693693693693694E+007;1.581609213500491E+002;
1.792792792792793E+007;1.569957912226889E+002;
1.891891891891892E+007;1.559333622380038E+002;
1.990990990990991E+007;1.547206571497795E+002;
2.090090090090090E+007;1.535031645106093E+002;
2.189189189189189E+007;1.523515256027429E+002;
2.288288288288289E+007;1.511676827488739E+002;
2.387387387387388E+007;1.500039915111728E+002;
2.486486486486486E+007;1.487771259263367E+002;
2.585585585585586E+007;1.476023487532985E+002;
2.684684684684685E+007;1.465522325500802E+002;
2.783783783783784E+007;1.454209320660790E+002;
2.882882882882883E+007;1.441564261766403E+002;
2.981981981981982E+007;1.430268837988808E+002;
3.081081081081081E+007;1.418302211992699E+002;
3.180180180180180E+007;1.406249100914942E+002;
3.279279279279279E+007;1.395277946561174E+002;
3.378378378378379E+007;1.383086056511526E+002;
3.477477477477478E+007;1.372962977176954E+002;
3.576576576576577E+007;1.359841462151061E+002;
3.675675675675675E+007;1.369427587660565E+002;
3.774774774774775E+007;1.356024665013434E+002;
3.873873873873874E+007;1.343018286556170E+002;
3.972972972972973E+007;1.330043729084880E+002;
4.072072072072072E+007;1.316883555195630E+002;
4.171171171171171E+007;1.303667543797930E+002;
4.270270270270270E+007;1.290732034245594E+002;
4.369369369369370E+007;1.277487876952789E+002;
4.468468468468469E+007;1.264128472010801E+002;
4.567567567567568E+007;1.250824168155489E+002;
4.666666666666666E+007;1.237137187206356E+002;
4.765765765765766E+007;1.223556015553890E+002;
4.864864864864865E+007;1.210146805049186E+002;
4.963963963963964E+007;1.196871111166740E+002;
5.063063063063064E+007;1.184039944142984E+002;
5.162162162162162E+007;1.172258932432028E+002;
5.261261261261261E+007;1.160083403110895E+002;
5.360360360360360E+007;1.148153767394824E+002;
5.459459459459460E+007;1.136012141330240E+002;
5.558558558558559E+007;1.123869713157951E+002;
5.657657657657658E+007;1.112180411703505E+002;
5.756756756756757E+007;1.100606696736433E+002;
5.855855855855856E+007;1.088815172004838E+002;
5.954954954954955E+007;1.077349698640056E+002;
6.054054054054054E+007;1.065724735299619E+002;
